ID,TITLE,ABSTRACT,Status,YEAR,AUTHORS,URL,Publisher,Facet: Topic
,Green Cloud Computing,"Cloud computing is offering utility oriented IT services to users worldwide. It enables hosting of applications from consumer, scientific and business domains. However data centre hosting cloud computing applications consume huge amounts of energy, thereby contributing to high operational costs and carbon footprints to the environment. With energy shortages and global climate change leading our concerns these days, the power consumption of data centers has become a key issue. Thus, we are in need of green cloud computing solutions that cannot only save energy, but also reduce operational costs. The vision for energy efficient management of cloud computing environments is presented here. A green scheduling algorithm which works by powering down servers when they are not in use is also presented.",,2012,"Gayathri, B.",http://digital-library.theiet.org/content/conferences/10.1049/cp.2012.2201,Institution of Engineering and Technology,SLA and Cloud
,Workflow scheduling for SaaS / PaaS cloud providers considering two SLA levels,"Cloud computing is being used to avoid maintenance costs and upfront investment, while providing elasticity to the available computational power in a pay-per-use basis. Customers can make use of the cloud as a software (SaaS), platform (PaaS), or infrastructure (IaaS) provider. When one customer utilizes an environment provided by a SaaS cloud, she is unaware of any details about the computational infrastructure where her requests are being processed. Therefore, such infrastructure can be composed of computational resources from a datacenter owned by the SaaS or its resources can be leased from a cloud infrastructure provider. In this paper we present an integer linear program (ILP) formulation for the problem of scheduling SaaS customer's workflows into multiple IaaS providers where SLA exists at two levels. In addition, we present heuristics to solve the relaxed version of the presented ILP. Simulation results show that the proposed ILP is able to find low-cost solutions for short deadlines, while the proposed heuristics are effective when deadlines are larger.",,2012,"Genez, T. A. L.; Bittencourt, L. F. & Madeira, E. R. M.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6212007,IEEE,SLA and Cloud
,Bee-MMT: A load balancing method for power consumption management in cloud computing,"Energy consumption management has become an essential concept in cloud computing. In this paper, we propose a new power aware load balancing, named Bee-MMT (artificial bee colony algorithm-Minimal migration time), to decline power consumption in cloud computing; as a result of this decline, CO2 production and operational cost will be decreased. According to this purpose, an algorithm based on artificial bee colony algorithm (ABC) has been proposed to detect over utilized hosts and then migrate one or more VMs from them to reduce their utilization; following that we detect underutilized hosts and, if it is possible, migrate all VMs which have been allocated to these hosts and then switch them to the sleep mode. However, there is a trade-off between energy consumption and providing high quality of service to the customers. Consequently, we consider SLA Violation as a metric to qualify the QOS that require to satisfy the customers. The results show that the proposed method can achieve greater power consumption saving than other methods like LR-MMT (local regression-Minimal migration time), DVFS (Dynamic Voltage Frequency Scaling), IQR-MMT (Interquartile Range-MMT), MAD-MMT (Median Absolute Deviation) and non-power aware.",,2013,"Ghafari, Seyed Mohssen; Fazeli, Mahdi; Patooghy, Ahmad & Rikhtechi, Leila",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6612165,IEEE,SLA and Cloud
,Data centers to offer ancillary services,"Considering the growing number of Internet and cloud computing data centers being built in recent years and given the data centers' major and yet flexible electric load, they can be good candidates to offer ancillary services, such as voluntary load reduction, to a smart grid. In this paper, we investigate such potential within an analytical profit maximization framework to determine whether participation in an ancillary service market can be beneficial to data centers. The profit model that we introduce includes elements with respect to a) the data center's revenue obtained from the Internet services that the data center offers based on its service-level agreements (SLA), b) the data center's cost of electricity based on time-of-use prices, and c) the monetary compensation that the data center may receive due to offering ancillary services based on the existing ancillary service market models in the ERCOT (Electric Reliability Council of Texas) Independent System Operator. Our simulation results show that data centers can noticeably increase their profit by participating in voluntary load reduction. Their participation can also help the grid better maintain service quality and reliability.",,2012,"Ghamkhari, Mahdi & Mohsenian-Rad, Hamed",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6486023,IEEE,SLA and Cloud
,Replica Placement in Cloud through Simple Stochastic Model Predictive Control,,,2014,"Ghanbari, Hamoun; Litoiu, Marin; Pawluk, Przemyslaw & Barna, Cornel",http://dl.acm.org/citation.cfm?id=2679108.2679154,IEEE Computer Society,SLA and Cloud
,Feedback-based optimization of a private cloud,"The optimization problem addressed by this paper involves the allocation of resources in a private cloud such that cost to the provider is minimized (through the maximization of resource sharing) while attempting to meet all client application requirements (as specified in the SLAs). At the heart of any optimization based resource allocation algorithm, there are two models: one that relates the application level quality of service to the given set of resources and one that maps a given service level and resource consumption to profit metrics. In this paper we investigate the optimization loop in which each application’s performance model is dynamically updated at runtime to adapt to the changes in the system. These changes could be perturbations in the environment that had not been included in the model. Through experimentation we show that using these tracking models in the optimization loop will result in a more accurate optimization and thus result in the generation of greater profit.",,2012,"Ghanbari, Hamoun; Simmons, Bradley; Litoiu, Marin & Iszlai, Gabriel",http://www.sciencedirect.com/science/article/pii/S0167739X11001014,,SLA and Cloud
,CloudDT: Efficient Tape Resource Management using Deduplication in Cloud Backup and Archival,,,2012,"Gharaibeh, Abdullah; Constantinescu, Cornel; Lu, Maohua; Sharma, Anurag; Routray, Ramani R.; Sarkar, Prasenjit; Pease, David & Ripeanu, Matei",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.382.7474 http://dl.acm.org/citation.cfm?id=2499406.2499429,International Federation for Information Processing,SLA and Cloud
,Energy-efficient resource management of cloud datacenters under fault tolerance constraints,"The cloud computing as a ubiquitous paradigm could provide different services for internet users and Information Technology (IT) companies through datacenters that located around the world. However, cloud provider faces several problems such as high energy consumption and fault occurrence issues in cloud datacenters. Hence, cloud provider has to make a trade-off between energy and fault to gain more profit. In this paper, a migration method for the virtual machines to handle fault problem and prevent Service Level Agreement (SLA) violation is proposed by considering energy consumption constraints. The approach considers the lowest increasing in energy consumption and the minimal deadline miss ratio as the most significant factors for migration of each Virtual Machine (VM). The results show that low SLA violation is achieved with the least amount of energy consumption compared to other methods. It is also shown that the energy increasing by migration has an exponential relationship with the failure rate increasing.",,2013,"Ghoreyshi, Seyed Mohammad",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6604493,IEEE,SLA and Cloud
,An approach to identify and monitor SLA parameters for storage-as-a-service cloud delivery model,"Cloud computing is an emerging technological paradigm that follows pay-as-you-use model. By this model, the consumers are charged according to the usage without regard to where the services are hosted or how they are delivered. Usually cloud services are offered as various delivery models among which Storage-as-a-Service cloud is gaining interest in recent time. In this model, raw (block) storage is offered as a service. Like any other utility services, cloud negotiates its service levels and guarantees with its consumers by establishing Service Level Agreements (SLAs). SLA is important in any provider-consumer interaction as it defines a formal basis for performance and availability the provider guarantees to deliver. It consists of a set of measurable attributes called SLA parameters which are established by some objectively measurable conditions, termed as Service Level Objectives (SLOs). However, the SLAs provided by the present day state-of-the-art clouds are relatively biased towards vendors and do not provide any formal method of verifying if the guarantees are complying or not. This paper attempts to identify the SLA parameters for Storage-as-a-Service cloud delivery model and proposes a monitoring framework for compliance checking.",,2012,"Ghosh, Nirnay & Ghosh, Soumya K",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6477664,IEEE,SLA and Cloud
,SelCSP: A Framework to Facilitate Selection of Cloud Service Providers,"With rapid technological advancements, cloud marketplace witnessed frequent emergence of new service providers with similar offerings. However, service level agreements (SLAs), which document guaranteed quality of service levels, have not been found to be consistent among providers, even though they offer services with similar functionality. In service outsourcing environments, like cloud, the quality of service levels are of prime importance to customers, as they use third-party cloud services to store and process their clients’ data. If loss of data occurs due to an outage, the customer’s business gets affected. Therefore, the major challenge for a customer is to select an appropriate service provider to ensure guaranteed service quality. To support customers in reliably identifying ideal service provider, this work proposes a framework, SelCSP, which combines trustworthiness and competence to estimate risk of interaction. Trustworthiness is computed from personal experiences gained through direct interactions or from feedbacks related to reputations of vendors. Competence is assessed based on transparency in provider’s SLA guarantees. A case study has been presented to demonstrate the application of our approach. Experimental results validate the practicability of the proposed estimating mechanisms.",,2014,"Ghosh, Nirnay; Ghosh, Soumya K. & Das, Sajal K.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6858002,,SLA and Cloud
,Scalable Analytics for IaaS Cloud Availability,"In a large Infrastructure-as-a-Service (IaaS) cloud, component failures are quite common. Such failures may lead to occasional system downtime and eventual violation of Service Level Agreements (SLAs) on the cloud service availability. The availability analysis of the underlying infrastructure is useful to the service provider to design a system capable of providing a defined SLA, as well as to evaluate the capabilities of an existing one. This paper presents a scalable, stochastic model-driven approach to quantify the availability of a large-scale IaaS cloud, where failures are typically dealt with through migration of physical machines among three pools: hot (running), warm (turned on, but not ready), and cold (turned off). Since monolithic models do not scale for large systems, we use an interacting Markov chain based approach to demonstrate the reduction in the complexity of analysis and the solution time. The three pools are modeled by interacting sub-models. Dependencies among them are resolved using fixed-point iteration, for which existence of a solution is proved. The analytic-numeric solutions obtained from the proposed approach and from the monolithic model are compared. We show that the errors introduced by interacting sub-models are insignificant and that our approach can handle very large size IaaS clouds. The simulative solution is also considered for the proposed model, and solution time of the methods are compared.",,2014,"Ghosh, Rahul; Longo, Francesco; Frattini, Flavio; Russo, Stefano & Trivedi, Kishor S.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6762970,,SLA and Cloud
,Augmenting a Web Server with QoS by Means of an Aspect-Oriented Architecture,"The handling of Quality of Service (QoS) parameters on a web server is a concern that generally spreads across the several modules responsible for fetching and delivering contents as per incoming requests. In order to avoid tangling between QoS and communication-related concerns, this paper proposes the use of aspect-orientation to handle QoS on top of an existing web server, Jigsaw. We show how an aspect-based architecture can be effective for providing the web server with several improvements when processing incoming requests. QoS parameters have been handled by associating requests with priorities and by introducing into the web server checks on resource-usage and tasks to be executed. Suggested aspects are connected at compile-time to existing classes, hence keeping the QoS-enforcing code separated from web server modules.",,2012,"Giunta, Rosario; Messina, Fabrizio; Pappalardo, Giuseppe & Tramontana, Emiliano",http://dl.acm.org/citation.cfm?id=2360026.2360644 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6269723,IEEE,SLA and Cloud
,Formation of Dynamic Collaborative Cloud Links Based on Provider Capability Cost and Resource Health Monitoring,"Typically in collaborative cloud systems, the collaborations are formed based on pre-negotiated terms and conditions. Care is taken to ensure that the resources are planned in such a way so as to satisfy the SLA requirements. However, these static collaborations pose certain challenges in the long run, which arise due to the changes in quality of resources and provider capabilities. In such a scenario, there is a need to dynamically establish appropriate collaborations so as to back-fill the resource quality and overcome shortfalls in provider capabilities. Our paper puts forth a mathematical model for cloud provider capabilities along with an approach to establish dynamic cloud provider collaborations. In our approach, once the under functioning resource is identified, we are able to find the most suitable replacement resource from within the same cloud provider or if need be, establish a new collaboration with another provider based on the required resource capabilities. This choice for new collaboration is based on the tenancy requirements, current state of resource utilization and capacity, and health of the specific resource to be replaced. Our algorithms to determine the replacement resource and form the collaboration links are illustrated along with a running example and proof-of-concept implementation.",,2012,"Gohad, Atul; Rao, Praveen S.; Narendra, Nanjangud C. & Ponnalagu, Karthikeyan",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6354609,IEEE,SLA and Cloud
,Cloud Computing Architecture for Visual Disabilities on E-Governance,,,,"Gohin, B.; Rajkumar, N. & Vinod, Viji",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.258.7848,,SLA and Cloud
,Supporting CPU-based guarantees in cloud SLAs via resource-level QoS metrics,"Success of Cloud computing requires that both customers and providers can be confident that signed Service Level Agreements (SLA) are supporting their respective business activities to their best extent. Currently used SLAs fail in providing such confidence, especially when providers outsource resources to other providers. These resource providers typically support very simple metrics like availability, or metrics that hinder an efficient exploitation of their resources. In this paper, we propose a resource-level metric for specifying fine-grain guarantees on CPU performance. This metric allows resource providers to allocate dynamically their resources among running services depending on their demand. This is accomplished by incorporating the customer’s CPU usage in the metric definition, but avoiding fake SLA violations when the customer’s task does not use all its allocated resources. We have conducted the evaluation in a virtualized provider where we have implemented the needed infrastructure for using our metric. As demonstrated in our evaluation, our solution presents fewer SLA violations than other CPU-related metrics while maintaining the Quality of Service.",,2012,"Goiri, \'{I}\ {n}igo; Juli\`{a}, Ferran; Fit\'{o}, J. Oriol; Mac\'{\i}as, Mario & Guitart, Jordi",http://www.sciencedirect.com/science/article/pii/S0167739X11002275 http://dl.acm.org/citation.cfm?id=2263483.2264533,Elsevier Science Publishers B. V.,SLA and Cloud
,Resource-level QoS metric for CPU-based guarantees in cloud providers,,,2010,"Goiri, \'{I}\ {n}igo; Juli\`{a}, Ferran; Fit\'{o}, J. Oriol; Mac\'{\i}as, Mario & Guitart, Jordi",http://dl.acm.org/citation.cfm?id=1884547.1884551 http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.185.445,Springer-Verlag,SLA and Cloud
,A generic SLA negotiation protocol for Virtualized Environments,"Many companies use the Internet as a basis for their services, defining Service Level Agreements (SLA) with their respective Internet Service Providers. However, the current Internet works in a Best Effort manner, what points toward the concept of network virtualization to support the Future Internet. Within this context, this work proposes a generic SLA negotiation protocol for Virtualized Environments (VEs). The proposed protocol allows the client to negotiate resources (for example, the bandwidth for the virtual network or the storage capacity of the cloud) and features (for example, protocol stack of the virtual network or operating system in the cloud) used in the VE. Experiments showed the effectiveness of the proposed protocol in fulfilling the requirements defined by the client.",,2012,"Gomes, Rafael L.; Bittencourt, Luiz F. & Madeira, Edmundo R. M.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6506525,IEEE,SLA and Cloud
,Hybrid Cloud Management to Comply Efficiently with SLA Availability Guarantees,"SLAs are common means to define specifications and requirements of cloud computing services, where the guaranteed availability is one of the most important parameters. Fulfilling the stipulated availability may be expensive, due to the cost of failure recovery software, and the amount of physical equipment needed to deploy the cloud services. Therefore, a relevant question for cloud providers is: How to guarantee the SLA availability in a cost efficient way? This paper studies different fault tolerance techniques available in the market, and it proposes the use of an hybrid management to have full control over the SLA risk, using only the necessary resources in order to keep a cost efficient operation. This paper shows how to model the probability distribution of the accumulated downtime, and how this can be used in the design of hybrid policies. Using specific case studies, this paper illustrates how to implement the proposed hybrid policies, and it shows the obtained cost saving by using them. This paper takes advantage of the cloud computing flexibility, and it opens the door to the use of dynamic management policies to reach specific performance objectives in ICT systems.",,2013,"Gonzalez, Andres J. & Helvik, Bjarne E.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6623652,IEEE,SLA and Cloud
,System management to comply with SLA availability guarantees in cloud computing,"SLAs are common means to define specifications and requirements of cloud computing services in business relationships. The terms that define the guaranteed availability for a given period are fundamental to these contracts. In this context, a natural question for cloud providers is: How to guarantee the availability promised? This paper studies the level of availability offered to a virtual machine during an SLA period in clouds with different: size, redundancy, and fault tolerance techniques. Finally, this paper proposes the use of the SLA -budget for the implementation of smart policies in: i) the assignment of spare servers when virtual machines are restored. ii) the dynamic use of different fault tolerance licenses. Using such policies results in a considerable reduction of the probability of breaching the SLA guarantee, by making an efficient use of the cloud resources available. This paper is a first step in the design of SLA-aware cloud architectures.",,2012,"Gonzalez, Andres J. & Helvik, Bjarne E.",http://dl.acm.org/citation.cfm?id=2469226.2469242 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6427508 http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.295.7215,IEEE,SLA and Cloud
,Software Defined Networks,"Chapter 7 delves more deeply into data center networking technology, both as it exists today and as it will adapt in the future through the benefit of SDN. More than most mainstream deployments, the modern data center has stretched traditional networking to the breaking point. In this chapter we define and describe the modern data center and examine the needs, technologies and use cases specific to this challenging environment. Data center needs include dealing with MAC address table overflow and VLAN exhaustion, multi-tenancy, traffic engineering and path efficiency, among others. We provide details of how new tunneling and path technologies are applied in the data center. We discusses specific use cases that illustrate how the three main SDN alternatives of Open SDN, SDN via APIs and SDN via hypervisor-based overlays make use of those technologies to address the requirements of the data center. We conclude by listing how some major enterprises are using SDN today in their data center environments.",,2014,"Goransson, Paul & Black, Chuck",http://www.sciencedirect.com/science/article/pii/B9780124166752000073,Elsevier,SLA and Cloud
,Optimal Management of Cloud Centers with Different Arrival Modes for Cloud Computing Environment,,,2012,"Goswami, Veena; Patra, Sudhansu Shekhar & Mund, G. B.",http://dl.acm.org/citation.cfm?id=2438435.2438439,IGI Global,SLA and Cloud
,"Sla-based, energy-efficient resource management in cloud computing systems",,,2013,"Goudarzi, Hadi",http://dl.acm.org/citation.cfm?id=2604404,University of Southern California,SLA and Cloud
,SLA-based Optimization of Power and Migration Cost in Cloud Computing,"Cloud computing systems (or hosting datacenters) have attracted a lot of attention in recent years. Utility computing, reliable data storage, and infrastructure-independent computing are example applications of such systems. Electrical energy cost of a cloud computing system is a strong function of the consolidation and migration techniques used to assign incoming clients to existing servers. Moreover, each client typically has a service level agreement (SLA), which specifies constraints on performance and/or quality of service that it receives from the system. These constraints result in a basic trade-off between the total energy cost and client satisfaction in the system. In this paper, a resource allocation problem is considered that aims to minimize the total energy cost of cloud computing system while meeting the specified client-level SLAs in a probabilistic sense. The cloud computing system pays penalty for the percentage of a client's requests that do not meet a specified upper bound on their service time. An efficient heuristic algorithm based on convex optimization and dynamic programming is presented to solve the aforesaid resource allocation problem. Simulation results demonstrate the effectiveness of the proposed algorithm compared to previous work.",,2012,"Goudarzi, Hadi; Ghasemazar, Mohammad & Pedram, Massoud",http://dl.acm.org/citation.cfm?id=2310096.2310155 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6217419 http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.408.2041,IEEE,SLA and Cloud
,"Profit-Maximizing Resource Allocation for Multi-tier 
Cloud Computing Systems under Service Level Agreements",,,,"Goudarzi, Hadi & Pedram, Massoud",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.407.9690,,SLA and Cloud
,Resource allocation and consolidation in a multi-core server cluster using a Markov decision process model,"Distributed computing systems have attracted a lot of attention due to increasing demand for high performance computing and storage. Resource allocation is one of the most important challenges in the distributed systems especially when the clients have some Service Level Agreements (SLAs) and the total profit depends on how the system can meet these SLAs. In this paper, an SLA-based resource allocation problem in a server cluster is considered. The objective is to maximize the total profit, which is the total price gained from serving the clients subtracted by the operation cost of the server cluster. The total price depends on the average request response time for each client as defined in their utility functions, while the operating cost is related to the total energy consumption. A joint optimization framework is proposed, comprised of request dispatching, dynamic voltage and frequency scaling (DVFS) for individual cores, as well as server-level and core-level consolidations. Each core in the cluster is modeled using a continuous-time Markov decision process (CTMDP). A near-optimal hierarchical solution is proposed, consisting of a central manager and distributed local agents. Each local agent employs linear programming-based CTMDP solving method to solve the DVFS problem for the corresponding core. The central manager solves the request dispatching problem and finds the optimal number of turned on cores and servers for request processing, thereby achieving a desirable tradeoff between service request response time and power consumption. Experimental results demonstrate that the proposed near-optimal resource allocation and consolidation algorithm consistently outperforms baseline algorithms.",,2013,"Goudarzi, H. & Pedram, M.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6523677,IEEE,SLA and Cloud
,Multi-dimensional SLA-Based Resource Allocation for Multi-tier Cloud Computing Systems,"With increasing demand for computing and memory, distributed computing systems have attracted a lot of attention. Resource allocation is one of the most important challenges in the distributed systems specially when the clients have Service Level Agreements (SLAs) and the total profit in the system depends on how the system can meet these SLAs. In this paper, an SLA-based resource allocation problem for multi-tier applications in the cloud computing is considered. An upper bound on the total profit is provided and an algorithm based on force-directed search is proposed to solve the problem. The processing, memory requirement, and communication resources are considered as three dimensions in which optimization is performed. Simulation results demonstrate the effectiveness of the proposed heuristic algorithm.",,2011,"Goudarzi, Hadi & Pedram, Massoud",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.408.2453 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6008726 http://dl.acm.org/citation.cfm?id=2055437.2055528,IEEE,SLA and Cloud
,Maximizing Profit in Cloud Computing System via Resource Allocation,"With increasing demand for high performance computing and data storage, distributed computing systems have attracted a lot of attention. Resource allocation is one of the most important challenges in the distributed systems specially when the clients have some Service Level Agreements (SLAs) and the total profit in the system depends on how the system can meet these SLAs. In this paper, an SLA-based resource allocation problem for cloud computing is considered and a distributed solution to this problem is presented. The processing, data storage, and communication resources are considered as three dimensions in which optimizations are performed. Simulation results demonstrate that the proposed heuristic algorithm is robust (produces high quality solutions independent of the initial solution provided) and produces solutions very close to the ""optimum"" (best solution found by Monte Carlo simulation).",,2011,"Goudarzi, Hadi & Pedram, Massoud",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5961382 http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.407.9800 http://dl.acm.org/citation.cfm?id=2014700.2014989,IEEE,SLA and Cloud
,Distributed Learning Algorithms for Inter-NSP SLA Negotiation Management,"To support real-time and security-demanding applications (e.g. telepresence, cloud computing) at a large-scale, the Internet must evolve so that Network Service Providers (NSPs) provide end-to-end Quality of Service (QoS) across their networks. The delivery of such QoS-assured services requires the negotiation of end-to-end QoS contracts (Service Level Agreements, SLAs) among NSPs and the configuration of their networks accordingly. The management of inter-NSP SLA negotiation is usually treated as an optimization problem, assuming that NSPs cooperate and agree on a common system, providing a solution for each demand. This assumption is quite strong in a highly competitive context where NSPs are cautious about sensitive data disclosure like topology or resource usage information or even SLA descriptions and prices. Hence, to meet NSPs' requirements on confidentiality, we opt for a distributed framework. In order to not over-provision demands, we consider the problem in a wider range: not only on the basis of instantaneous requests but also anticipating future ones. To enhance the chance of an NSP to be selected for an end-to-end service, we aim to take into account the demander likeliness of acceptance (aka. customer utility). To this end, we opt for reinforcement learning techniques and propose three distributed algorithms, inspired by the Q-learning algorithm, having different cooperation levels.",,2012,"Groleat, Tristan & Pouyllau, Helia",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6247444,,SLA and Cloud
,Distributed inter-domain SLA negotiation using Reinforcement Learning,"Applications requiring network Quality of Service (QoS) (e.g. telepresence, cloud computing, etc.) are becoming mainstream. To support their deployment, network operators must automatically negotiate end-to-end QoS contracts (aka. Service Level Agreements, SLAs) and configure their networks accordingly. Other crucial needs must be considered: QoS should provide incentives to network operators, and confidentiality on topologies, resource states and committed SLAs must be respected. To meet these requirements, we propose two distributed learning algorithms that will allow network operators to negotiate end-to-end SLAs and optimize revenues for several demands while treating requests in real-time: one algorithm minimizes the cooperation between providers while the other demands to exchange more information. Experiment results exhibit that the second algorithm satisfies better customers and providers while having worse runtime performances.",,2011,"Groleat, Tristan & Pouyllau, Helia",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5990671,IEEE,SLA and Cloud
,A Study of SLA Violation Compensation Mechanismin Complex Cloud Computing Environment,"SLA is an important guarantee for carrying out cloud services in complex cloud computing environment and the rule of SLA violation compensation can restrict the behaviors of service providers. A variety of possible SLA violation compensation forms are analyzed and the form of mechanism in which service providers report the compensation will is studied in this paper. Based on mechanism design theory, a violation compensation mechanism in which providers would report their real compensation will is designed. The way of choosing service provider, compensation value and decision of service provider is confirmed in this mechanism. The property of incentive compatibility and ex-post individual rationality of the mechanism is also proved in this paper.",,2012,"Gu, Yonggen; Zhang, Wei & Tao, Jie",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6429175 http://dl.acm.org/citation.cfm?id=2473506.2474715,IEEE,SLA and Cloud
,Quality of service modeling for green scheduling in Clouds,"Most Cloud providers support services under constraints of Service Level Agreement (SLA) definitions. The SLAs are composed of different quality of service (QoS) rules promised by the provider. Thus, the QoS in Clouds becomes more and more important. Precise definitions and metrics have to be explained. This article proposes an overview of Cloud QoS parameters as well as their classification, but also it defines usable metrics to evaluate QoS parameters. Moreover, the defined QoS metrics are measurable and reusable in any scheduling approach for Clouds. The use of these QoS models is done through the performance analysis of three scheduling approaches considering four QoS parameters. In addition to the energy consumption and the Response Time, two other QoS parameters are taken into account in different virtual machines scheduling approaches. These parameters are dynamism and robustness, which are usually not easily measurable. The evaluation is done through simulations, using two common scheduling algorithms and a Genetic Algorithm (GA) for virtual machines (VMs) reallocation, allowing us to analyze the QoS parameters evolution in time. Simulation results have shown that including various and antagonist QoS parameters allows a deeper analysis of the intrinsic behavior and insight of these three algorithms. Also, it is shown that the multi-objective optimization allows the service provider to seek the best trade-off between service performances and end user's experience.",,2014,"Gu\'{e}rout, Tom; Medjiah, Samir; Da Costa, Georges & Monteil, Thierry",http://www.sciencedirect.com/science/article/pii/S221053791400047X,,SLA and Cloud
,Energy-Efficient SLA Guarantees for Virtualized GPU in Cloud Gaming,"Both power consumption and SLA guarantees are important concerns for cloud gaming. Recently, various approaches have been developed to effectively reduce GPU power consumption by making GPU run at low frequencies. However, Virtual Machines (VMs) running on the same physical GPU with virtualization technology are correlated, because the change of GPU frequencies will affect the SLA performance of all the VMs. In fact, both reducing power consumption and guaranteeing SLA should work together under the considerations of their correlations. This paper proposes a novel two-layer control architecture called EvGPU (Energy-efficient SLA guarantees for virtualized GPU) based on well-established feedback control techniques. The first control loop adopts a Proportional-Integral (PI) controller to ensure SLA guarantees, which in particular are measured at a predefined level of the Frames Per Second (FPS) for each online game. The secondary power control loop then adjusts GPU frequency through Dynamic Voltage/Frequency Scaling (DVFS) to reduce power consumption based on the current FPS achieved by the first loop. Empirical results demonstrate that the proposed solution can effectively reduce GPU power consumption, while achieving the required SLA performance in virtualized GPU for cloud gaming.",,2014,"haibing Guan; Yao, Jianguo; Qi, Zhengwei & Wang, Runze",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6881719,,SLA and Cloud
,SLAs for energy-efficient data centres: the standards-based approach of the OPTIMIS project,,,2012,Wolfgang Ziegler,http://dl.acm.org/citation.cfm?id=2414376.2414381,Springer Berlin Heidelberg,SLA and Cloud
,GreenSLAs: supporting energy-efficiency through contracts,,,,,http://dl.acm.org/citation.cfm?id=2414376.2414384,,
,"
Exploiting VM migration for the automated power and performance management of green cloud computing systems",,,,,http://dl.acm.org/citation.cfm?id=2414376.2414386,,
,Risk-Driven Proactive Fault-Tolerant Operation of IaaS Providers,"In order to improve service execution in Clouds, the management of Cloud Infrastructure has to take measures to adhere to Service Level Agreements and Business Level Objectives, from the application layer through to how services are supported at the lowest hardware levels. In this paper a risk model methodology and holistic management approach is developed specific to the operation of the Cloud Infrastructure Provider and is applied through improvements to SLA fault tolerance in Cloud Infrastructure. Risk assessments are used to analyse execution specific data from the Cloud Infrastructure and linked to a business driven holistic management component that is part of a Cloud Manager. Initial results show improved eco-efficiency, virtual machine availability and reductions in SLA failure across the whole Cloud infrastructure by applying our combined risk-based fault tolerance approach.",,2013,"Guitart, Jordi; Macias, Mario; Djemame, Karim; Kirkham, Tom; Jiang, Ming & Armstrong, Django",http://dl.acm.org/citation.cfm?id=2568486.2568557 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6753827,IEEE,SLA and Cloud
,Towards a Trust Management System for Cloud Computing,"Cloud computing provides cost-efficient opportunities for enterprises by offering a variety of dynamic, scalable, and shared services. Usually, cloud providers provide assurances by specifying technical and functional descriptions in Service Level Agreements (SLAs) for the services they offer. The descriptions in SLAs are not consistent among the cloud providers even though they offer services with similar functionality. Therefore, customers are not sure whether they can identify a trustworthy cloud provider only based on its SLA. To support the customers in reliably identifying trustworthy cloud providers, we propose a multi-faceted Trust Management (TM) system architecture for a cloud computing marketplace. This system provides means to identify the trustworthy cloud providers in terms of different attributes (e.g., security, performance, compliance) assessed by multiple sources and roots of trust information.",,2011,"Habib, Sheikh Mahbub; Ries, Sebastian; Muhlhauser, Max & Darmstadt, Technische Universit\""{a}t",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.392.6463 http://dl.acm.org/citation.cfm?id=2117692.2119048 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6120922,IEEE,SLA and Cloud
,A virtual machine repacking in clouds: faster live migration algorithms,,,2014,"Hadji, Makhlouf & Laborg\`{e}re, Paul",http://dl.acm.org/citation.cfm?id=2627566.2627580,ACM Press,SLA and Cloud
