ID;TITLE;ABSTRACT;Status;YEAR;AUTHORS;URL;Publisher;Facet: Research Topic;;;;;;;;;;;;;;;;;
154;Creating standardized products for electronic markets;Cloud computing is supposed to offer resources (i.e., data, software, and hardware services) in a manner similar to traditional utilities such as water, electricity, gas, and telephony. However, the current Cloud market is fragmented and static, preventing the successful implementation of ubiquitous computing on demand. In order to address the issue of fragmentation, commodity Cloud marketplaces have been suggested. However, as those marketplaces still suffer from being static (i.e., not being capable to adapt to changing market conditions and to the dynamics of user requirements for services), they do not operate at the optimal point. In this paper, we address this issue by channeling demand and supply into a few standardized services that are automatically adapted to user requirements in regular time intervals. For this, we utilize clustering algorithms and monitor the requirements of users. In order to avoid any cost to the user through these adaptations, we automatically adapt service level specifications of users to newly defined standardized goods. Using a simulation framework, we evaluate our approach and show its benefits to end users.;;2013;"Breskovic, Ivan; Altmann, J\""{o}rn & Brandic, Ivona";http://dl.acm.org/citation.cfm?id=2435448.2435536 http://www.sciencedirect.com/science/article/pii/S0167739X12001434;Elsevier Science Publishers B. V.;SLA and Cloud;;;;;;;;;;;;;;;;;
155;Maximizing Liquidity in Cloud Markets through Standardization of Computational Resources;Low liquidity in cloud markets can result in market instability and inefficiency, preventing the successful implementation of ubiquitous computing on demand. To circumvent this issue, it has been suggested to channel demand and supply into a limited number of standardized services. These standardized services can even be automatically adapted to user requirements with the goal of continuously improving market performance. In this paper, we focus on answering how many standardized services should be placed in the market. This work is based on a new definition of liquidity for cloud resources, which in turn has been derived from liquidity definitions of financial markets. Using a simulation framework, we evaluate our method for estimating the optimal quantity of standardized services with respect to market liquidity and demonstrate the benefits of this approach in terms of increase in market efficiency and decrease in users' cost of participation in the market. The methods presented in this paper have the potential to be applied in other electronic markets as well.;;2013;"Breskovic, I.; Brandic, I. & Altmann, J.";http://dl.acm.org/citation.cfm?id=2497618.2497649 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6525507;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
156;Towards autonomic market management in cloud computing infrastructures;Cloud computing markets face challenges, such as a large variety of different resource types in the market. A large variety of resource types results in a low number of matches of ask and bids. Consequently, the market has a low liquidity, which is economically inefficient and can lead to market failure. To counteract this problem, SLA templates (i.e., templates for electronic contracts) have been introduced. However, until now, SLA templates were static, not able to reflect changes in users ’ requirements. In this paper, we apply the adaptive SLA mapping approach for deriving public SLA templates from private SLA templates of users. To achieve the adaptation of SLA templates, we combine clustering algorithms with adaptation methods. The result is a set of new public SLA templates, which reflect the market situation more accurately. This way, we enable marketplaces to automatically adapt to observed changes of market conditions. For the simulationbased evaluation of our approach, we formalize a utility and cost model, calculate the overall net utility, and assess the scalability of the approach. Our results show that the use of clustering algorithms can significantly improve the performance of the adaptive SLA mapping approach.;;2011;"Breskovic, Ivan; Maurer, Michael; Emeakaroha, Vincent C.; Br, Ivona & Altmann, J\""{o}rn";http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.227.4845;;SLA and Cloud;;;;;;;;;;;;;;;;;
157;"Achieving Market Liquidity Through
Autonomic Cloud Market Management";Due to the large variety in computing resources, Cloud markets often suffer from a low probability of finding matches between consumers ’ bids and providers ’ asks, resulting in low market liquidity. The approach of service level agreement (SLA) templates (i.e., templates for electronic contracts) is a mean to reduce this variety as it channels the demand and supply. However, until now, the SLA templates used were static, not able to reflect changes in users ’ requirements. To address this shortcoming, we introduce an adaptive approach for automatically deriving public SLA templates based on the requirements of market participants. To achieve this goal, we utilize clustering algorithms for grouping similar requirements and learning methods for adapting the public SLA templates to observed changes of market conditions. To assess the benefits of the approach, we conduct a simulationbased evaluation and formalize a utility and cost model. Our results show that the use of clustering algorithms and learning algorithms improves the performance of the adaptive SLA template approach.;;;"Breskovic, Ivan; Maurer, Michael; Emeakaroha, Vincent C.; Br, Ivona; Altmann, J\""{o}rn; Breskovic, I.; Maurer, M.; Emeakaroha, V. C.; Br, I. & Altmann, J.";http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.362.1242;;SLA and Cloud;;;;;;;;;;;;;;;;;
158;Cost-Efficient Utilization of Public SLA Templates in Autonomic Cloud Markets;Dynamic and self-adaptable markets are fundamental for the successful implementation of the Cloud computing paradigm where computing resources are provided on demand and dynamically to the heterogeneous user base. Usually, in Cloud markets, contracts between traders are established using Service Level Agreements (SLAs), which include objectives of service usage. However, Cloud markets face challenges, which are usually not evident in other market types, such as non-standardized goods and large variety of resource types offered on the market, resulting in low number of matches of consumers' bids and providers' asks. Moreover, existing Cloud market mechanisms are usually static and cannot react on dynamic change of user requirements. To counteract these problems, we propose an adaptive approach for autonomically deriving public SLA templates (i.e., templates for generation of electronic contracts) based on user requirements. Although this approach brings many benefits, it also incurs cost to users, since they must adapt specifications of their requirements in order to match automatically generated public SLA templates. In this paper, we reduce this cost by autonomically modifying specifications of user requirements. We introduce a method for adapting public SLA templates not only in respect to definitions of SLA attributes, but also to attribute values. Based on an appropriate utility and cost model, we evaluate the approach and show that it significantly improves the performance of the adaptive SLA template technique.;;2011;"Breskovic, Ivan; Maurer, Michael; Emeakaroha, Vincent C.; Brandic, Ivona; Dustdar, Schahram & Maurer, Ivan Breskovic Michael";http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.227.4681 http://dl.acm.org/citation.cfm?id=2120969.2121741 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6123502;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
159;Creating a ‘Cloud Storage ’ Mashup for High Performance, Low Cost Content Delivery;Many ‘Cloud Storage ’ providers have launched in the last two years, providing internet accessible data storage and delivery in several continents that is backed by rigourous Service Level Agreements (SLAs), guaranteeing specific performance and uptime targets. The facilities offered by these providers is leveraged by developers via provider-specific Web Service APIs. For content creators, these providers have emerged as a genuine alternative to dedicated Content Delivery Networks (CDNs) for global file storage and delivery, as they are significantly cheaper, have comparable performance and no ongoing contract obligations. As a result, the idea of utilising Storage Clouds as a ‘poor mans ’ CDN is very enticing. However, many of these ‘Cloud Storage ’ providers are merely basic storage services, and do not offer the capabilities of a fully-featured CDN such as intelligent replication, failover, load redirection and load balancing. Furthermore, they can be difficult to use for non-developers, as each service is best utilised via unique web services or programmer APIs. In this paper we describe the design, architecture, implementation and user-experience of MetaCDN, a system that integrates these ‘Cloud Storage ’ providers into an unified CDN service that provides high performance, low cost, geographically distributed content storage and delivery for content creators, and is managed by an easy to use web portal.;;;Broberg, James & Tari, Zahir;http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.151.2026;;SLA and Cloud;;;;;;;;;;;;;;;;;
160;A Model-free Learning Approach for Coordinated Configuration of Virtual Machines and Appliances;Cloud computing has a key requirement for resource configuration in a real-time manner. In such virtualized environments, both virtual machines (VMs) and hosted applications need to be configured on-the-fly to adapt to system dynamics. The interplay between the layers of VMs and applications further complicates the problem of cloud configuration. Independent tuning of each aspect may not lead to optimal system wide performance. In this paper, we propose a framework, namely CoTuner, for coordinated configuration of VMs and resident applications. At the heart of the framework is a model-free hybrid reinforcement learning (RL) approach, which combines the advantages of Simplex and RL methods and is further enhanced by the use of system knowledge guided exploration policies. Experimental results on Xen-based virtualized environments with TPC-W and TPC-C benchmarks demonstrate that CoTuner is able to drive a virtual server system into an optimal or near optimal configuration state dynamically, in response to the change of workload. It improves the systems throughput by more than 30\% over independent tuning strategies. In comparison with the coordinated tuning strategies based solely on Simplex or basic RL algorithm, the hybrid RL algorithm gains 30\% to 40\% throughput improvement. Moreover, the algorithm is able to reduce SLA violation of the applications by more than 80\%.;;2011;"Bu, Xiangping; Rao, Jia & Xu, Cheng-Zhong";http://dl.acm.org/citation.cfm?id=2060110.2060889 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6005364 http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.298.693;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
161;Service level agreement framework for e-commerce cloud end-user perspective;Cloud computing provides a large pool of accessible resources (hardware, platform, software) in a form of services. It became a cost effective alternative to the traditional IT infrastructure. Nowadays, as more and more e-commerce companies delegate their task to cloud providers, Services Level Agreement (SLA) became an important aspect between the cloud consumer and cloud provider, the dynamic nature of cloud computing needs to continue monitoring of the services. The restricted choice of appropriate parameters in SLA affects the interacting of end user with cloud services and creates risks of user data. End users are concerned about their data and how it will be stored in cloud and how the data is recovered in the case of failure of disaster. However, none of SLAs consider the end user view while conducting the SLA document. In this paper, we reviewed the existing SLA framework in cloud computing and introduced SLA framework for e-commerce cloud based on WSLA lifecycle. In this paper, a list most appropriate parameters and objectives which should be included in the SLA are provided to alleviate the risks facing the e-commerce cloud end user. The proposed framework may provide holistic guarantee for the end user to interact with ecommerce cloud websites.;;2013;"Busalim, Abdelsalam H.; Hussin, Ab Razak Che & Ibrahim, Abdulrahman";http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6716773;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
162;SLAs empowering services in the future internet;IT-supported service provisioning has become of major relevance in all industries and domains. However, the goal of reaching a truly serviceoriented economy would require that IT-based services can be flexibly traded as economic good, i.e. under well defined and dependable conditions and with clearly associated costs. With this paper we claim for the need of creating a holistic view for the management of service level agreements (SLAs) which addresses the management of services and their related SLAs through the complete service lifecycle, from engineering to decommissioning. Furthermore, we propose an SLA management framework that can become a core element for managing SLAs in the Future Internet. Last, we present early results and experiences gained in four different industrial use cases, covering the areas of Enterprise IT, ERP Hosting, Telco Service Aggregation, and eGovernment.;;2011;"Butler, Joe; Lambea, Juan; Nolan, Michael; Theilmann, Wolfgang; Torelli, Francesco; Yahyapour, Ramin; Chiasera, Annamaria & Pistore, Marco";http://dl.acm.org/citation.cfm?id=1983741.1983764;Springer-Verlag;SLA and Cloud;;;;;;;;;;;;;;;;;
163;Market-oriented cloud computing: Opportunities and challenges;"Summary form only given, as follows. Computing is being transformed to a model consisting of services that are commoditised and delivered in a manner similar to utilities such as water, electricity, gas, and telephony. In such a model, users access services based on their requirements without regard to where the services are hosted. Several computing paradigms have promised to deliver this utility computing vision. Cloud computing is the most recent emerging paradigm promising to turn the vision of ""computing utilities"" into a reality. Cloud computing has emerged as one of the buzzwords in the IT industry. Several IT vendors are promising to offer storage, computation and application hosting services, and provide coverage in several continents, offering Service-Level Agreements (SLA) backed performance and uptime promises for their services. It delivers infrastructure, platform, and software (application) as services, which are made available as subscription-based services in a pay-as-you-go model to consumers. The price that Cloud Service Providers charge can vary with time and the quality of service (QoS) expectations of consumers. This keynote talk will cover (a) 21st century vision of computing and identifies various IT paradigms promising to deliver the vision of computing utilities; (b) the architecture for creating market-oriented Clouds by leveraging technologies such as VMs; (c) market-based resource management strategies that encompass both customer-driven service management and computational risk management to sustain SLA-oriented resource allocation; (d) Aneka, a software system for rapid development of Cloud applications and their deployment on private/public Clouds with resource provisioning driven by SLAs and user QoS requirements, (e) experimental results on deploying Cloud applications in engineering, gaming, and health care domains (integrating sensors networks, mobile devices), ISRO satellite image processing on elastic Clouds, and (f) need for c- nvergence of competing IT paradigms for delivering our 21st century vision along with pathways for future research.";;2013;Buyya, Rajkumar;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6658258;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
164;Market-oriented cloud computing: vision, hype, and reality of delivering computing as the 5th utility;"Computing is being transformed to a model consisting of services that are commoditised and delivered in a manner similar to utilities such as water, electricity, gas, and telephony. In such a model, users access services based on their requirements without regard to where the services are hosted. Several computing paradigms have promised to deliver this utility computing vision and they include Grid computing, P2P computing, and more recently Cloud computing. The latter term denotes the infrastructure as a ""Cloud"" in which businesses and users are able to access applications from anywhere in the world on demand. Cloud computing delivers infrastructure, platform, and software (application) as services, which are made available as subscription-based services in a pay-as-you-go model to consumers. These services in industry are respectively referred to as Infrastructure as a Service (Iaas), Platform as a Service (PaaS), and Software as a Service (SaaS). To realize Cloud computing, vendors such as Amazon, HP, IBM, and Sun are starting to create and deploy Clouds in various locations around the world. In addition, companies with global operations require faster response time, and thus save time by distributing workload requests to multiple Clouds in various locations at the same time. This creates the need for establishing a computing atmosphere for dynamically interconnecting and provisioning Clouds from multiple domains within and across enterprises. There are many challenges involved in creating such Clouds and Cloud interconnections. This keynote talk (1) presents the 21st century vision of computing and identifies various IT paradigms promising to deliver the vision of computing utilities; (2) defines the architecture for creating market-oriented Clouds and computing atmosphere by leveraging technologies such as VMs; (3) provides thoughts on market-based resource management strategies that encompass both customer-driven service management and computational risk man- gement to sustain SLA-oriented resource allocation; (4) presents the work carried out as part of our recent initiative in cloud computing, called as Megha: (i) Aneka, a software system for providing PaaS within private or public Clouds and supporting market-oriented resource management, (ii) internetworking of Clouds for dynamic creation of federated computing environments for scaling of elastic applications, (iii) creation of 3rd party Cloud brokering services for content delivery network and e-Science applications and their deployment on capabilities of IaaS providers such as Amazon and Nirvanix along with Grid mashups, and (iv) CloudSim supporting modelling and simulation of Clouds for performance studies; and (5) concludes with the need for convergence of competing IT paradigms for delivering our 21st century vision along with pathways for future research.";;2009;Buyya, R.;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5329110;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
165;Market-Oriented Grid Computing and the Gridbus Middleware;Grid computing, one of the latest buzzwords in the ICT industry, is emerging as a new paradigm for Internet-based parallel and distributing computing. Despite a number of advances in grid computing, resource management and application scheduling in such environments continues to be a challenging and complex undertaking. This is due to geographic distribution of grid resources owned by different organizations with different usage policies, cost models and varying load and availability patterns with time. This tutorial introduces fundamental principles of grid computing and computational economy and discusses how they impact on emerging computational and data grid technologies. It identifies resource management challenges and introduces new challenges and requirements introduced by the grid economy on grid service providers (GSPs) and grid service consumers. The tutorial presents a service-oriented grid architecture inspired by computational economies and demonstrates how it can be realized by leveraging the existing grid technologies and building new economic-oriented capabilities and components. We present solutions to these challenges based on our experience in designing and developing market-oriented Gridbus technologies such as Grid Market Directory, Grid Bank, Grid Service Broker, Workflow Engine, and SLA-based enterprise Grid Resource Allocation system. Case studies on the use of Gridbus middleware in the creation of various e-science and e-business applications and their deployment on national/international utility-oriented grids along with its impact on emerging cloud computing paradigm will also be highlighted.;;2008;Buyya, Rajkumar;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4760415;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
166;Autonomic Cloud Computing: Open Challenges and Architectural Elements;As Clouds are complex, large-scale, and heterogeneous distributed systems, management of their resources is a challenging task. They need automated and integrated intelligent strategies for provisioning of resources to offer services that are secure, reliable, and cost-efficient. Hence, effective management of services becomes fundamental in software platforms that constitute the fabric of computing Clouds. In this direction, this paper identifies open issues in autonomic resource provisioning and presents innovative management techniques for supporting SaaS applications hosted on Clouds. We present a conceptual architecture and early results evidencing the benefits of autonomic management of Clouds.;;;"Buyya, Rajkumar; Calheiros, Rodrigo N. & Li, Xiaorong";http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.258.7064;;SLA and Cloud;;;;;;;;;;;;;;;;;
167;SLA-Oriented Resource Provisioning for Cloud Computing: Challenges, Architecture, and Solutions;;excluded;;"Buyya, Rajkumar; Garg, Saurabh Kumar & Calheiros, Rodrigo N.";http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.228.5449;;SLA and Cloud;;;;;;;;;;;;;;;;;
168;SLA-oriented resource provisioning for cloud computing: Challenges, architecture, and solutions;Cloud computing systems promise to offer subscription-oriented, enterprise-quality computing services to users worldwide. With the increased demand for delivering services to a large number of users, they need to offer differentiated services to users and meet their quality expectations. Existing resource management systems in data centers are yet to support Service Level Agreement (SLA)-oriented resource allocation, and thus need to be enhanced to realize cloud computing and utility computing. In addition, no work has been done to collectively incorporate customer-driven service management, computational risk management, and autonomic resource management into a market-based resource management system to target the rapidly changing enterprise requirements of Cloud computing. This paper presents vision, challenges, and architectural elements of SLA-oriented resource management. The proposed architecture supports integration of market-based provisioning policies and virtualisation technologies for flexible allocation of resources to applications. The performance results obtained from our working prototype system shows the feasibility and effectiveness of SLA-based resource provisioning in Clouds.;excluded;2011;"Buyya, Rajkumar; Garg, Saurabh Kumar & Calheiros, Rodrigo N.";http://dl.acm.org/citation.cfm?id=2354417.2355556 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6138522;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
169;Cloudbus Toolkit for Market-Oriented Cloud Computing;"This keynote paper: (1) presents the 21st century vision of computing and identifies various IT paradigms promising to deliver computing as a utility; (2) defines the architecture for creating market-oriented Clouds and computing atmosphere by leveraging technologies such as virtual machines; (3) provides thoughts on market-based resource management strategies that encompass both customer-driven service management and computational risk management to sustain SLA-oriented resource allocation; (4) presents the work carried out as part of our new Cloud Computing initiative, called Cloudbus: (i) Aneka, a Platform as a Service software system containing SDK (Software Development Kit) for construction of Cloud applications and deployment on private or public Clouds, in addition to supporting market-oriented resource management; (ii) internetworking of Clouds for dynamic creation of federated computing environments for scaling of elastic applications; (iii) creation of 3 rd party Cloud brokering services for building content delivery networks and e-Science applications and their deployment on capabilities of IaaS providers such as Amazon along with Grid mashups; (iv) CloudSim supporting modelling and simulation of Clouds for performance studies; (v) Energy Efficient Resource Allocation Mechanisms and Techniques for creation and management of Green Clouds; and (vi) pathways for future research.";;;"Buyya, Rajkumar; P, Suraj & Vecchiola, Christian";http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.148.3039;;SLA and Cloud;;;;;;;;;;;;;;;;;
170;Special section: Federated resource management in grid and cloud computing systems;"Welcome to the special issue of Future Generation Computer System (FGCS) journal. This special issue compiles a number of excellent technical contributions that significantly advance the state-of-the-art in federated management [2][3][4] of Grid and Cloud computing environments. Federated management of administratively distributed grids and clouds offers significant benefits including: (i) improving the ability of resource providers to meet SLA compliance [5] for clients and offer improved service by optimizing the service placement and throughput according to users' QoS needs; (ii) enhancing the peak-load handling and dynamic system expansion capacity of every Grid/Cloud domain through federation [1] without the need of setting up a new software or hardware infrastructure in every location, and (iii) adapting to failures including natural disasters and regular system maintenance more gracefully as providers can transparently migrate their services to others domains in the federation, thus avoiding SLA violations and resulting penalties. Hence, federated management not only ensures business continuity but also augments the reliability of the participating resource providers. Next, we briefly describe the technical contributions, which were selected for publication in this special issue. All of the selected papers underwent a rigorous peer-review process.";;2010;Buyya, Rajkumar & Ranjan, Rajiv;http://dl.acm.org/citation.cfm?id=1838759.1838848;Elsevier Science Publishers B. V.;SLA and Cloud;;;;;;;;;;;;;;;;;
171;Market-Oriented Cloud Computing: Vision, Hype, and Reality for Delivering IT Services as Computing Utilities;"This keynote paper: presents a 21st century vision of computing; identifies various computing paradigms promising to deliver the vision of computing utilities; defines Cloud computing and provides the architecture for creating market-oriented Clouds by leveraging technologies such as VMs; provides thoughts on market-based resource management strategies that encompass both customer-driven service management and computational risk management to sustain SLA-oriented resource allocation; presents some representative Cloud platforms especially those developed in industries along with our current work towards realising market-oriented resource allocation of Clouds by leveraging the 3rd generation Aneka enterprise Grid technology; reveals our early thoughts on interconnecting Clouds for dynamically creating an atmospheric computing environment along with pointers to future community research; and concludes with the need for convergence of competing IT paradigms for delivering our 21st century vision.";;2008;"Buyya, Rajkumar; Yeo, Chee Shin & Venugopal, Srikumar";http://dl.acm.org/citation.cfm?id=1444453.1445848 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4637675;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
172;Cloud computing and emerging IT platforms: Vision, hype, and reality for delivering computing as the 5th utility;With the significant advances in Information and Communications Technology (ICT) over the last half century, there is an increasingly perceived vision that computing will one day be the 5th utility (after water, electricity, gas, and telephony). This computing utility, like all other four existing utilities, will provide the basic level of computing service that is considered essential to meet the everyday needs of the general community. To deliver this vision, a number of computing paradigms have been proposed, of which the latest one is known as Cloud computing. Hence, in this paper, we define Cloud computing and provide the architecture for creating Clouds with market-oriented resource allocation by leveraging technologies such as Virtual Machines (VMs). We also provide insights on market-based resource management strategies that encompass both customer-driven service management and computational risk management to sustain Service Level Agreement (SLA)-oriented resource allocation. In addition, we reveal our early thoughts on interconnecting Clouds for dynamically creating global Cloud exchanges and markets. Then, we present some representative Cloud platforms, especially those developed in industries, along with our current work towards realizing market-oriented resource allocation of Clouds as realized in Aneka enterprise Cloud technology. Furthermore, we highlight the difference between High Performance Computing (HPC) workload and Internet-based services workload. We also describe a meta-negotiation infrastructure to establish global Cloud exchanges and markets, and illustrate a case study of harnessing ‘Storage Clouds’ for high performance content delivery. Finally, we conclude with the need for convergence of competing IT paradigms to deliver our 21st century vision.;;2009;"Buyya, Rajkumar; Yeo, Chee Shin; Venugopal, Srikumar; Broberg, James & Brandic, Ivona";http://www.sciencedirect.com/science/article/pii/S0167739X08001957 http://dl.acm.org/citation.cfm?id=1528937.1529211;Elsevier Science Publishers B. V.;SLA and Cloud;;;;;;;;;;;;;;;;;
173;SLA-based management of software licenses as web service resources in distributed computing infrastructures;Until recently the use of applications requiring a software license for execution was quite limited in distributed environments. Due to the mandatory centralised control of license usage at application runtime, e.g. heartbeat control by the license server running at the home site of a user, traditional software licensing practices are not suitable especially when the distributed computing infrastructure stretches across administrative domains. In this paper we present a novel approach for managing software licenses as web service resources in distributed service oriented environments. Licenses become mobile objects, which may travel to the environment where required to authorise the execution of a license protected application. A first implementation has been realised for dynamic Grid environments in the European SmartLM project co-funded by the European Commission. The SmartLM solution decouples authorisation for license usage from authorisation for application execution. All authorisations are expressed as and guaranteed by Service Level Agreements. We will present the core technology, discuss various security aspects and how they are addressed in the SmartLM prototype, and present the evaluation of the prototype through a number of usage scenarios. Finally, we will give an outlook on specific issues and current work extending the solution to Clouds and service based systems in general.;;2012;"Cacciari, Claudio; Mallmann, Daniel; Zsigri, Csilla; D’Andria, Francesco; Hagemeier, Bj\""{o}rn; Rumpl, Angela; Ziegler, Wolfgang & Martrat, Josep";http://www.sciencedirect.com/science/article/pii/S0167739X11002287;;SLA and Cloud;;;;;;;;;;;;;;;;;
174;Intelligent power- and performance-aware tradeoffs for multicore servers in cloud data centers;Cloud service providers are seeking new solutions for reducing the energy consumption in their data centers. Our work in developing middleware that is integrated with a Virtual Machine Manager (VMM) to lower the energy consumption while maximizing the performance of or minimizing the service level agreement (SLA) violations for applications. To that end our solution leverages techniques such as Dynamic voltage/frequency scaling (DVFS) and server consolidation through live migration of virtual machines from an overloaded host machine to a less-loaded one.;;2013;"Caglar, Faruk; Shekhar, Shashank; An, Kyoungho; Gokhale, Aniruddha & Kyoungho An";http://dl.acm.org/citation.cfm?id=2502524.2502559;ACM Press;SLA and Cloud;;;;;;;;;;;;;;;;;
175;A coordinator for scaling elastic applications across multiple clouds;Cloud computing allows customers to dynamically scale their applications, software platforms, and hardware infrastructures according to negotiated Service Level Agreements (SLAs). However, resources available in a single Cloud data center are limited, thus if a large demand for an elastic application is observed in a given time, a Cloud provider will not be able to deliver uniform Quality of Service (QoS) to handle such a demand and SLAs may be violated. One approach that can be taken to avoid such a scenario is enabling further growing of the application by scaling it across multiple, independent Cloud data centers, following market-based trading and negotiation of resources. This approach, as envisioned in the InterCloud project, is realized by agents called Cloud Coordinators and allows for an increase in performance, reliability, and scalability of elastic applications. In this paper, we propose both an architecture for such Cloud Coordinator and an extensible design that allows its adoption in different public and private Clouds. An evaluation of the Cloud Coordinator prototype running in a small-scale scenario shows the effectiveness of the proposed approach and its impact on elastic applications.;;2012;"Calheiros, Rodrigo N.; Toosi, Adel Nadjaran; Vecchiola, Christian & Buyya, Rajkumar";http://www.sciencedirect.com/science/article/pii/S0167739X12000635;;SLA and Cloud;;;;;;;;;;;;;;;;;
176;Energy-Aware Workflow Job Scheduling for Green Clouds;With the increasing deployment of many data centers and computer servers around the globe, the energy cost on running the computing, communication and cooling together with the amount of CO2 emissions have increased dramatically. In order to maintain sustainable Cloud computing with ever-increasing problem scale, we design and develop energy-aware scientific workflow scheduling algorithm to minimize energy consumption and CO2 emission without sacrificing Quality of Service (QoS) such as response time specified in Service Level Agreement (SLA). The underlying available computing capacity and network bandwidth is represented as time-dependent because of the dual operation modes of on-demand and reservation instances supported by many commercial Cloud data centers. The Dynamic Voltage and Frequency Scaling (DVFS) is utilized to lower the CPU frequencies of virtual machines as long as the finishing time is still before the specified deadline. Our resource provision and allocation algorithm aims to meet the response time requirement and minimize the Virtual Machine (VM) overhead for reduced energy consumption. The consolidated VM reuse can lead to higher resource utilization rate for higher system throughput. The effectiveness of our algorithm is evaluated under various performance metrics and experimental scenarios using software adapted from open source CloudSim simulator. The simulation results show that our algorithm is able to achieve an average up to 30\% of energy savings.;;2013;Cao, Fei & Zhu, Michelle M.;http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6682072 http://dl.acm.org/citation.cfm?id=2548018.2548193;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
177;Energy-Efficient Resource Management for Scientific Workflows in Clouds;The elastic resource provision, non-interfering resource sharing and flexible customized configuration provided by the Cloud infrastructure has shed light on efficient execution of many scientific applications. Due to the increasing deployment of data centers and computer servers around the globe escalated by the higher electricity price, the energy cost on running the computing, communication and cooling together with the amount of CO2 emissions have skyrocketed. In order to maintain sustainable Cloud computing facing with ever-increasing problem complexity and big data size in the next decades, we design and develop energy-aware scientific workflow scheduling algorithm to minimize energy consumption and CO2 emission while still satisfying certain Quality of Service (QoS) such as response time specified in Service Level Agreement (SLA). We also apply Dynamic Voltage and Frequency Scaling (DVFS) and DNS scheme to further reduce energy consumption within acceptable performance bounds. Our multiple-step resource provision and allocation algorithm achieves the response time requirement in the step of forwarding task scheduling and minimizes the VM overhead for reduced energy consumption and higher resource utilization rate in the backward task scheduling step. The effectiveness of our algorithm is evaluated under various performance metrics and experimental scenarios using software adapted from open source CloudSim simulator.;;2014;"Cao, Fei; Zhu, Michelle M. & Wu, Chase Q.";http://dl.acm.org/citation.cfm?id=2673314.2673465 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6903296;IEEE;SLA and Cloud;;;;;;;;;;;;;;;;;
178;Optimal Multiserver Configuration for Profit Maximization in Cloud Computing;As cloud computing becomes more and more popular, understanding the economics of cloud computing becomes critically important. To maximize the profit, a service provider should understand both service charges and business costs, and how they are determined by the characteristics of the applications and the configuration of a multiserver system. The problem of optimal multiserver configuration for profit maximization in a cloud computing environment is studied. Our pricing model takes such factors into considerations as the amount of a service, the workload of an application environment, the configuration of a multiserver system, the service-level agreement, the satisfaction of a consumer, the quality of a service, the penalty of a low-quality service, the cost of renting, the cost of energy consumption, and a service provider's margin and profit. Our approach is to treat a multiserver system as an M/M/m queuing model, such that our optimization problem can be formulated and solved analytically. Two server speed and power consumption models are considered, namely, the idle-speed model and the constant-speed model. The probability density function of the waiting time of a newly arrived service request is derived. The expected service charge to a service request is calculated. The expected net business gain in one unit of time is obtained. Numerical calculations of the optimal server size and the optimal server speed are demonstrated.;;2013;"Cao, Junwei; Member, Senior; Hwang, Kai; Li, Keqin & Zomaya, Albert Y.";http://dl.acm.org/citation.cfm?id=2498735.2498818 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6226389 http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.338.1400;IEEE Press;SLA and Cloud;;;;;;;;;;;;;;;;;
